gene,department
AKAP11,Signaling
AKAP12,Signaling
AKAP13,GTPase
AKAP17A,Transcription
AKAP17A,Signaling
AKAP17A,RNA processing
AKAP17A,Nuc acid bind
AKAP4,Signaling
AKAP5,Signaling
AKAP8,Signaling
AKAP8,Nuc acid bind
AKAP8,Immune
AKAP8L,Transcription
AKAP8L,RNA processing
AKAP8L,Nuc acid bind
AKAP9,Signaling
AKIRIN1,Transcription
AKIRIN2,Transcription
AKIRIN2,Immune
AKNA,Transcription
AKT1,Transcription
AKT1,Kinase
AKT1,Signaling
AKT1,Apoptosis
AKT2,Kinase
AKT2,Signaling
AKT2,Apoptosis
AKT3,Kinase
AKT3,Signaling
AKTIP,Apoptosis
ALCAM,Signaling
ALCAM,Cell adhesion
ALDH18A1,Nuc acid bind
ALDH6A1,Nuc acid bind
ALDOA,Nuc acid bind
ALG12,Protein folding
ALG13,Proteolysis
ALK,Kinase
ALK,Signaling
ALKBH1,DNA repair
ALKBH2,DNA repair
ALKBH3,DNA repair
ALKBH4,Chromatin
ALKBH5,RNA processing
ALKBH5,Nuc acid bind
ALKBH7,DNA repair
ALKBH8,DNA repair
ALKBH8,Nuc acid bind
ALKBH8,Methylation
ALOX15,Immune
ALOX15B,Apoptosis
ALPK1,Immune
ALX1,Transcription
ALX3,Transcription
ALX4,Transcription
ALYREF,RNA processing
ALYREF,Nuc acid bind
AMBN,Signaling
AMBN,Cell adhesion
AMBP,Cell adhesion
AMBRA1,Transcription
AMBRA1,Ubiquitin
AMELX,Signaling
AMELX,Cell adhesion
AMFR,Ubiquitin
AMFR,Signaling
AMHR2,Kinase
AMIGO1,Cell adhesion
AMIGO2,Cell adhesion
AMIGO3,Cell adhesion
AMOT,Transcription
AMOTL2,Transcription
AMTN,Cell adhesion
AMZ1,Proteolysis
AMZ2,Proteolysis
ANAPC1,Cell cycle
ANAPC1,Ubiquitin
ANAPC10,Cell cycle
ANAPC10,Ubiquitin
ANAPC11,Cell cycle
ANAPC11,Ubiquitin
ANAPC13,Cell cycle
ANAPC13,Ubiquitin
ANAPC15,Cell cycle
ANAPC16,Cell cycle
ANAPC16,Ubiquitin
ANAPC2,Cell cycle
ANAPC2,Ubiquitin
ANAPC4,Cell cycle
ANAPC4,Ubiquitin
ANAPC5,Cell cycle
ANAPC5,Ubiquitin
ANAPC7,Cell cycle
ANAPC7,Ubiquitin
ANG,Signaling
ANG,Nuc acid bind
ANG,Immune
ANGEL2,RNA processing
ANGPT2,Signaling
ANGPT4,Signaling
ANGPTL3,Signaling
ANGPTL3,Cell adhesion
ANGPTL8,Signaling
ANHX,Transcription
ANK1,Signaling
ANK1,Structural
ANK1,Cytoskeleton
ANK2,Signaling
ANK2,Structural
ANK2,Cytoskeleton
ANK3,Signaling
ANK3,Structural
ANK3,Cytoskeleton
ANKDD1A,Signaling
ANKDD1B,Signaling
ANKH,Transport
ANKHD1,Nuc acid bind
ANKHD1,Immune
ANKIB1,Ubiquitin
ANKK1,Kinase
ANKLE1,Cell cycle
ANKLE1,DNA repair
ANKLE2,Cell cycle
ANKRD1,Transcription
ANKRD1,Apoptosis
ANKRD17,Nuc acid bind
ANKRD17,Immune
ANKRD2,Transcription
ANKRD23,Transcription
ANKRD53,Cell cycle
ANKRD9,Ubiquitin
ANLN,Cell cycle
ANO1,Ion channel
ANO2,Ion channel
ANO6,Apoptosis
ANO6,Ion channel
ANOS1,Structural
ANOS1,Cell adhesion
ANP32A,Signaling
ANP32A,Nuc acid bind
ANP32E,Chromatin
ANP32E,Protein folding
ANPEP,Proteolysis
ANTKMT,Methylation
ANXA1,Signaling
ANXA1,Immune
ANXA11,Cell cycle
ANXA11,Nuc acid bind
ANXA2,Transcription
ANXA2,Nuc acid bind
ANXA2,Cell adhesion
ANXA2P2,Cell adhesion
ANXA4,Transcription
ANXA4,Signaling
ANXA5,Signaling
ANXA6,Ion channel
ANXA7,Nuc acid bind
ANXA9,Cell adhesion
AOC3,Immune
AOC3,Cell adhesion
AOPEP,Proteolysis
AP1B1,Transport
AP1G1,Transport
AP1G2,Transport
AP1M1,Transport
AP1M2,Transport
AP1S1,Transport
AP1S2,Transport
AP1S3,Transport
AP2A1,Transport
AP2A2,Transport
AP2B1,Transport
AP2M1,Transport
AP2S1,Transport
AP3B1,Transport
AP3B2,Transport
AP3D1,Transport
AP3M1,Transport
AP3M2,Transport
AP3S1,Transport
AP3S2,Transport
AP4B1,Transport
AP4E1,Transport
